name,id,country,languages,broadcast_area,categories,is_nsfw,logo
7 Televisión Región de Murcia,7TelevisionRegiondeMurcia.es,ES,spa,c/ES,local,false,https://i.imgur.com/M0JqHa9.png
7 Two,7Two.au,AU,eng,c/AU,,false,https://otv-us-web.s3-us-west-2.amazonaws.com/logos/guide/media/ed49cf4f-1123-4bee-9c90-a6af375af310.png
7 Victoria,7Victoria.au,AU,eng,c/AU,,false,
7 flix,7flix.au,AU,eng,c/AU,,false,https://i.mjh.nz/.images/tv.101305020525.png
7 mate,7mate.au,AU,eng,c/AU,,false,https://i.mjh.nz/.images/tv.101305020523.png
7 mate Central,7mateCentral.au,AU,eng,c/AU,,false,
7/8 TV,78TV.bg,BG,bul,c/BG,,false,https://i.dir.bg/tv/imgs/ch_logos/2019/11/04/te_175843.jpg
71 Bangla TV,71BanglaTV.bd,BD,ben,c/BD,,false,
7D7,7D7.ee,EE,est,c/EE,,false,https://www.sms.cz/kategorie/televize/bmp/loga/velka/7d7tv.png
7S Music,7SMusic.in,IN,tam,c/IN,music,false,https://i.imgur.com/P5EXpPy.jpg
7TV,7TV.sn,SN,wol;fra,c/SN,,false,
7th Circuit,7thCircuit.lk,LK,sin,c/LK,,false,
8 Kanal,8Kanal.ru,RU,rus,c/RU,,false,
8 Kanal,8Kanal.ua,UA,ukr,c/UA,,false,
8 Kanal International,8KanalInternational.ru,RU,rus,c/RU,,false,https://www.sms.cz/kategorie/televize/bmp/loga/velka/8tv.png
8 Kanal Krasnoyarsk,8KanalKrasnoyarsk.ru,RU,rus,c/RU,,false,
8 kanal,8kanal.by,BY,rus,c/BY,local,false,https://i.imgur.com/VpWmrEw.png
88 Films,88Films.us,US,eng,c/US,,false,https://www.directv.com/images/logos/channels/dark/large/364.png
88 TV,88TV.us,US,eng,c/US,,false,https://www.directv.com/images/logos/channels/dark/large/362.png
8TV,8TV.my,MY,msa,c/MY,,false,https://divign0fdw3sv.cloudfront.net/Images/ChannelLogo/contenthub/115_144.png
8XM,8XM.pk,PK,eng,c/PK,,false,
9 GEM,9GEM.au,AU,eng,c/AU,,false,
9 GEM Adelaide,9GEMAdelaide.au,AU,eng,c/AU,,false,
9 GEM Brisbane,9GEMBrisbane.au,AU,eng,c/AU,,false,
9 GEM Melbourne,9GEMMelbourne.au,AU,eng,c/AU,,false,
9 GEM Perth,9GEMPerth.au,AU,eng,c/AU,,false,
9 Go!,9Go.au,AU,eng,c/AU,,false,https://i.mjh.nz/.images/tv.101204200428.png
9 Go! Brisbane,9GoBrisbane.au,AU,eng,c/AU,,false,
9 Go! Melbourne,9GoMelbourne.au,AU,eng,c/AU,,false,
9 Go! Perth,9GoPerth.au,AU,eng,c/AU,,false,
9 Go! Sydney,9GoSydney.au,AU,eng,c/AU,,false,
